Region of birth,2013,2014,2015
Sao Tome and Principe,6,5,6
Saudi Arabia,"1,463","1,696","1,744"
Senegal,"1,340","1,273","1,244"
Serbia,866,"1,143","1,278"
Serbia and Montenegro (former),653,267,232
Seychelles,6,7,11
Sierra Leone,"1,651","1,740","1,599"
Singapore,835,779,781
Sint Maarten,,45,45
Slovakia,507,460,424
Slovenia,62,78,107
Solomon Islands,3,5,D
Somalia,"3,764","5,190","6,796"
South Africa,"2,629","2,676","2,907"
South Sudan,59,74,127
Soviet Union (former),"1,264","1,136","1,022"
Spain,"2,480","2,928","3,303"
Sri Lanka,"1,847","1,767","1,763"
Sudan,"1,945","2,442","3,580"
Suriname,178,158,134
Swaziland,15,23,19
Sweden,"1,106",954,"1,066"
Switzerland,697,656,640
Syria,"3,366","3,540","3,840"
Taiwan,"5,385","4,697","4,888"
Tajikistan,550,516,595
Tanzania,837,774,799
Thailand,"7,583","6,197","7,502"
Togo,"1,257","1,612","1,547"
Tonga,348,320,327
Trinidad and Tobago,"4,724","3,988","3,212"
Tunisia,445,429,518
Turkey,"4,144","3,834","4,201"
Turkmenistan,210,254,226
Turks and Caicos Islands,50,40,38
Uganda,"1,350","1,409","1,664"
Ukraine,"8,193","7,752","7,987"
United Arab Emirates,910,"1,039","1,193"
United Kingdom,"12,984","12,225","12,592"
United States,319,358,370
Uruguay,"1,352","1,128","1,078"
Uzbekistan,"4,382","5,194","3,977"
Venezuela,"9,572","8,427","9,144"
Vietnam,"27,101","30,283","30,832"
Yemen,"3,532","3,492","3,194"
Zambia,505,441,460
Zimbabwe,924,797,779
All other countries2,27,31,34
Unknown,"3,263","1,150",677
